título,dificuldade,area,matriculados,plataforma,tipo
"Get to know the VIX Index (aka 'The Fear Index)""",All Levels,Business Finance,727,Udemy,
Apply finance concepts for smart project management,Beginner Level,Business Finance,3465,Udemy,
Introduction to Futures Trading and Live Trade Demonstration,Expert Level,Business Finance,54,Udemy,
Crowdfunding to Win,All Levels,Business Finance,627,Udemy,
Comprehensive Forex Mastery Program,All Levels,Business Finance,650,Udemy,
Preparation of Consolidated Financial Statements (Basic),Intermediate Level,Business Finance,965,Udemy,
Succeed in Bonds Even if You Don't Know Where to Start,All Levels,Business Finance,1113,Udemy,
Learn to Trade for Profit: Ten Most Profitable Trading Rules,All Levels,Business Finance,739,Udemy,
Succeed in Lotto Even if You Don't Know Where to Start!,All Levels,Business Finance,1201,Udemy,
CFA Corporate Finance Level 2,All Levels,Business Finance,2474,Udemy,
Pin Bars: The Most Powerful Forex Trading Signal,All Levels,Business Finance,494,Udemy,
Stock Options Trades Using Interactive Brokers,Intermediate Level,Business Finance,1580,Udemy,
Introduction to Options - Strategies For Consistent Profits,All Levels,Business Finance,617,Udemy,
Risk in Forex Transactions - for CA / CS / CFA exams,All Levels,Business Finance,2235,Udemy,
Basics of Business Statistics (College Level),All Levels,Business Finance,2293,Udemy,
"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",Beginner Level,Business Finance,1094,Udemy,
Interpreting Financial Statements,Beginner Level,Business Finance,1449,Udemy,
Introduction to Bookkeeping (Accounting),Beginner Level,Business Finance,3251,Udemy,
CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,Intermediate Level,Business Finance,607,Udemy,
Investment Banking: How to Land a Job on Wall Street,All Levels,Business Finance,1218,Udemy,
Learn To Invest In Index Funds and ETFs In 7 Easy Steps,All Levels,Business Finance,1132,Udemy,
Financial modeling: Build a multiples valuation model,All Levels,Business Finance,656,Udemy,
Trade Recap I - A Real Look at Futures Options Markets,Beginner Level,Business Finance,3339,Udemy,
Advanced Stock Options for Serious Equity Investors!,Expert Level,Business Finance,1271,Udemy,
Trading Binary Options for Fun and Profit,All Levels,Business Finance,1574,Udemy,
CFA: Fast Track your career in Finance,Beginner Level,Business Finance,1393,Udemy,
How to be a Profitable Forex Trader,All Levels,Business Finance,1029,Udemy,
Excel Dashboard - Interactive Excel Dashboard and Charts,All Levels,Business Finance,843,Udemy,
Accounting 101: Learn Business Finance Forecasting in 60mins,All Levels,Business Finance,1730,Udemy,
The Securities Trade Lifecycle,All Levels,Business Finance,1182,Udemy,
Double your Forex Account using the MAGIC MA trading robot,Intermediate Level,Business Finance,1160,Udemy,
Technical Analysis 101: How to Profit During Market Crashes,All Levels,Business Finance,1730,Udemy,
Advanced Accounting for Investment Banking,Intermediate Level,Business Finance,1260,Udemy,
Investing In Stocks With 10 Simple Rules,All Levels,Business Finance,871,Udemy,
Venture Capital. What is it and Why it Matters to You!,All Levels,Business Finance,1566,Udemy,
Cash Flow Valuation: Develop Your Financial Literacy,All Levels,Business Finance,2987,Udemy,
Direction-Independ Trading - Elite Forex Traders  Strategy,All Levels,Business Finance,973,Udemy,
How to Become a Financial Analyst from Scratch!,Beginner Level,Business Finance,2177,Udemy,
First Steps to Trading the Forexmarkets : Technical Analysis,Beginner Level,Business Finance,1772,Udemy,
Financial analysis: Compare performance of companies,All Levels,Business Finance,1850,Udemy,
Forex for Beginners: Easy Forex Trading for Beginners,Beginner Level,Business Finance,1780,Udemy,
Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),Beginner Level,Business Finance,4607,Udemy,
Read financial statements like a pro,Intermediate Level,Business Finance,12,Udemy,
10 Numbers Every Business Owner Should Know,All Levels,Business Finance,13,Udemy,
Learn How To Trade Gold In 2017,All Levels,Business Finance,2,Udemy,
IAS 18 - Revenue,All Levels,Business Finance,2571,Udemy,
Forex Trading: The High ROI Forex Trading End of Day Course,Intermediate Level,Business Finance,8,Udemy,
Fundraise the Simplified Way: A Crowdfunding Blueprint,All Levels,Business Finance,7,Udemy,
Fundamentals of Accounting for Business Owners,Beginner Level,Business Finance,217,Udemy,
Practical Financial Statement Analysis,All Levels,Business Finance,22,Udemy,
Forex Management - Detailed Study for CA / CS / CFA Exams,All Levels,Business Finance,131,Udemy,
Financial Statement Review 101:  How to Find Errors,Beginner Level,Business Finance,5,Udemy,
Professional Risk Manager (PRM) Certification: Level 1,All Levels,Business Finance,116,Udemy,
International Tax  - Tax Beyond boundaries,All Levels,Business Finance,27,Udemy,
The Complete Financial Statement Analysis Course,Beginner Level,Business Finance,912,Udemy,
Advanced Excel functions,All Levels,Business Finance,1964,Udemy,
Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),Beginner Level,Business Finance,1033,Udemy,
Candlestick Analysis For Professional Traders,Expert Level,Business Finance,913,Udemy,
Build A Career In Forex Trading- Learn Fundamental Analysis,All Levels,Business Finance,2092,Udemy,
Financial Modeling: Build a Complete DCF Valuation Model,All Levels,Business Finance,2240,Udemy,
Hands-on Financial Modeling (With 6 Excel Templates),Intermediate Level,Business Finance,4601,Udemy,
CAIIB Advanced Bank Management (Part I),All Levels,Business Finance,2953,Udemy,
Stock Market investment:Non financial fundamental analysis,Beginner Level,Business Finance,1091,Udemy,
Learn How to Play CashFlow Game,Beginner Level,Business Finance,1459,Udemy,
Basics of Business Finance,Beginner Level,Business Finance,4855,Udemy,
Accounting Made Easy 2,Intermediate Level,Business Finance,4034,Udemy,
"Bitcoin: el futuro del dinero, hoy",Intermediate Level,Business Finance,57,Udemy,
Aprende a invertir practicando,All Levels,Business Finance,26,Udemy,
Trading con retrocesos de Fibonacci,All Levels,Business Finance,14,Udemy,
Mit Finanzwissen zu besserem Unternehmertum,Beginner Level,Business Finance,49,Udemy,
Como hacer empresa en 10 sesiones prácticas,Intermediate Level,Business Finance,11,Udemy,
المحاسبة للإداريين و غير المحاسبين,Beginner Level,Business Finance,9,Udemy,
株式投資で本当のファンダメンタル分析ができるようになる,All Levels,Business Finance,91,Udemy,
Curso de Trading práctico basado en casos reales,All Levels,Business Finance,44,Udemy,
Curso Avanzado de Trading,All Levels,Business Finance,106,Udemy,
สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย,All Levels,Business Finance,2079,Udemy,
MQL4 Tutorial Golden Goose,Beginner Level,Business Finance,135,Udemy,
Análise de Concessão de Crédito,All Levels,Business Finance,31,Udemy,
