título,dificuldade,area,matriculados,plataforma,tipo
Write quicker HTML5 and CSS 3; productivity hacks with emmet,All Levels,Web Development,13016,Udemy,
The Ultimate jQuery Course,All Levels,Web Development,1098,Udemy,
Build an Advanced Single Page with Bootstrap & WordPress,Intermediate Level,Web Development,481,Udemy,
Master all PHP ideas 2017 to build any project,Beginner Level,Web Development,376,Udemy,
A Beginner's Guide to the Meteor JavaScript Framework,Beginner Level,Web Development,898,Udemy,
Create an E-commerce website without any coding,All Levels,Web Development,1393,Udemy,
Learn To Build Apps Using Play Framework,All Levels,Web Development,434,Udemy,
Introducing Ionic 2,Beginner Level,Web Development,394,Udemy,
Learn Laravel with Database Migration & Seeding & Faker,All Levels,Web Development,263,Udemy,
Create a Client Network by Hosting WordPress Sites,Intermediate Level,Web Development,1061,Udemy,
Introduction to PHP Slim Microframework,Intermediate Level,Web Development,1312,Udemy,
ASP :basics for beginners,All Levels,Web Development,764,Udemy,
"WordPress Development With NodeJS, Gulp, Composer & More",Intermediate Level,Web Development,289,Udemy,
Become PHP Facebook Developer: Password-Less Authentication,All Levels,Web Development,4001,Udemy,
How To Create Your Very First Website With HTML and CSS,Beginner Level,Web Development,5097,Udemy,
Learn JSON for beginners with JavaScript,Beginner Level,Web Development,3193,Udemy,
Ultimate guide to Social Media Web development integration ,All Levels,Web Development,11011,Udemy,
A Complete Laravel basics from beginner to expert,All Levels,Web Development,3492,Udemy,
JQuery Basics - Learn JQuery From Scratch,Beginner Level,Web Development,3559,Udemy,
Learn MeteorJS By Building 10 Real World Projects,All Levels,Web Development,2784,Udemy,
JavaScript Basics for Beginners Introduction to coding,Beginner Level,Web Development,5495,Udemy,
AngularJS Masterclass - Deep Dive & Understand AngularJS,All Levels,Web Development,2912,Udemy,
HTML5 for beginners,Beginner Level,Web Development,9687,Udemy,
All in one HTML CSS and JQuery,All Levels,Web Development,3444,Udemy,
Responsive Design with NEW Materialize,All Levels,Web Development,12629,Udemy,
Create a Responsive Business Website with WordPress,All Levels,Web Development,1659,Udemy,
PHP webservices,All Levels,Web Development,1305,Udemy,
JavaScript Promises: Applications in ES6 and AngularJS,Beginner Level,Web Development,651,Udemy,
Learn to build 20 websites and build 14 iOS9 apps with swift,All Levels,Web Development,1926,Udemy,
Professional CSS Flexbox,Intermediate Level,Web Development,396,Udemy,
XML :basics for beginners,All Levels,Web Development,1062,Udemy,
How to create Paypal and Credit card Payment Buttons,Beginner Level,Web Development,578,Udemy,
Customizr - Learn WordPress with the ultimate creative theme,Beginner Level,Web Development,4735,Udemy,
How To Create a Local Wordpress Environment,Beginner Level,Web Development,4306,Udemy,
Fun and creative web engineering with Python and Web2py,All Levels,Web Development,10917,Udemy,
WordPress for Beginners - Build Your First Website in 2017,Beginner Level,Web Development,1701,Udemy,
Learn to Make an Animated Image Gallery using HTML5,Beginner Level,Web Development,11080,Udemy,
Projects in Foundation Framework - Learn By Building 10 Apps,All Levels,Web Development,636,Udemy,
Drupal for Beginners,Beginner Level,Web Development,1478,Udemy,
Laravel : CRUD Application Using AJAX In Laravel 5.3,Intermediate Level,Web Development,362,Udemy,
Foundations of Front-End Web Development,Beginner Level,Web Development,8337,Udemy,
Angular 2 - Superheroic Framework,Beginner Level,Web Development,702,Udemy,
Social Network Web Development,All Levels,Web Development,2698,Udemy,
For Free - Deploy Quickly Spring Boot on Heroku With MySQL,All Levels,Web Development,177,Udemy,
Building Web Applications with Spring MVC,All Levels,Web Development,714,Udemy,
"HTML5, CSS3 & Bootstrap - How to Create a Responsive Website",All Levels,Web Development,1062,Udemy,
HTML & CSS - Learn to build sleek websites ,All Levels,Web Development,1552,Udemy,
Master Angular 2 - The No Nonsense Course,Beginner Level,Web Development,102,Udemy,
Master ASP . NET 4 from scratch,All Levels,Web Development,613,Udemy,
CoffeeScript: The Good Parts—Write Better javaScript,Beginner Level,Web Development,2152,Udemy,
Mastering Magento,All Levels,Web Development,1063,Udemy,
Ultimate JavaScript Strings,Beginner Level,Web Development,3142,Udemy,
Your Own Site in 45 Min: The Complete Wordpress Course,All Levels,Web Development,1566,Udemy,
Redirect Your Visitors By Country Easily -Wordpress Tutorial,Beginner Level,Web Development,2306,Udemy,
Learn Knockout JS Framework from GroundUp,All Levels,Web Development,633,Udemy,
Build Responsive Websites  in an Hour using Portalfin,All Levels,Web Development,2859,Udemy,
Master Riot: Learn Riot.js from Scratch,Intermediate Level,Web Development,299,Udemy,
Learn W3.CSS,All Levels,Web Development,1002,Udemy,
Learning Axure RP,All Levels,Web Development,631,Udemy,
"Complete guide to install Wordpress, PHP on Cloud,AWS or VPS",All Levels,Web Development,1386,Udemy,
"Kids Coding -Introduction to HTML, CSS and JavaScript",Beginner Level,Web Development,2355,Udemy,
Introduction to Voice Design with Amazon's Alexa,Beginner Level,Web Development,6742,Udemy,
How to Create a Social Network For a Niche-Related Community,All Levels,Web Development,1853,Udemy,
Webpack 1 & 2 - The Complete Guide,All Levels,Web Development,252,Udemy,
Star Rating Project AJAX with JSON response from PHP MySQL,Beginner Level,Web Development,1302,Udemy,
Wordpress for beginners :Build Websites Fast without Coding ,All Levels,Web Development,1658,Udemy,
ASP.Net MVC Quick Start,Intermediate Level,Web Development,15092,Udemy,
Build a Chatbot integrated Website using Bootstrap 4,All Levels,Web Development,165,Udemy,
How To Create A WordPress Website Without Paying A Developer,Beginner Level,Web Development,4333,Udemy,
PSD to Bootstrap 3 for Beginners using HTML & CSS,Beginner Level,Web Development,976,Udemy,
Build Advanced Responsive Websites with Foundation 6 & SASS,All Levels,Web Development,1276,Udemy,
Learn Essential Javascript Fundamentals - Lite,All Levels,Web Development,1476,Udemy,
Learn HTML in 2 hours!,Beginner Level,Web Development,5351,Udemy,
Laravel 4 try and enjoy php coding,Beginner Level,Web Development,2402,Udemy,
Wordpress Beginner Tutorial: Build Your First Website,Beginner Level,Web Development,6402,Udemy,
Build Complex Express Sites with Redis and Socket IO,Intermediate Level,Web Development,223,Udemy,
Building a ASP.NET MVC 5 Membership Website,Intermediate Level,Web Development,654,Udemy,
Drupal Views: Introduction to Enhancing Your Drupal Website,Beginner Level,Web Development,1262,Udemy,
Bootstrap Bootcamp - Responsive web development- 8 projects,All Levels,Web Development,253,Udemy,
Self Advertise Using PowerPoint Twitter and Facebook on ios,Beginner Level,Web Development,1780,Udemy,
Learning Bootstrap 3 - Tutorial From Infinite Skills,All Levels,Web Development,1266,Udemy,
Practical Web Development: Make Websites Quickly And Easily,All Levels,Web Development,2389,Udemy,
"Learn animation using CSS3, Javascript and HTML5",All Levels,Web Development,1468,Udemy,
Creating Interactive HTML5 Video,Intermediate Level,Web Development,838,Udemy,
Optimizing Wordpress for More Speed and Revenue,Intermediate Level,Web Development,2649,Udemy,
JavaScript project Learn to create a memory Game and more,Beginner Level,Web Development,6000,Udemy,
The Complete JavaScript Bootcamp,All Levels,Web Development,1839,Udemy,
JavaScript for Absolute Beginners,Beginner Level,Web Development,10689,Udemy,
Complete JavaScript Course for Beginners with Easy Examples,All Levels,Web Development,7449,Udemy,
Angular 2 Master Class with Alejandro Rangel,All Levels,Web Development,4157,Udemy,
Quick learning jQuery web development,Intermediate Level,Web Development,3388,Udemy,
Google Blogger Course,Intermediate Level,Web Development,1343,Udemy,
"Ajax in JavaScript and JQuery, with PHP - Creating Chat App",All Levels,Web Development,3399,Udemy,
PHP Tutorial: Learn PHP Basic Programming for Beginners,Beginner Level,Web Development,2510,Udemy,
Mastering Modern Web Development Using React,All Levels,Web Development,1537,Udemy,
"Full Stack JavaScript: Learn Backbone.js, Node.js & MongoDB",Beginner Level,Web Development,6134,Udemy,
The Essential Web Developer Course - Build 12 Websites,All Levels,Web Development,9355,Udemy,
Build Powerful Websites & Blogs using WordPress - No Coding,Beginner Level,Web Development,1024,Udemy,
Learn to Build Web Apps using UnderscoreJS : Code Like a Pro,All Levels,Web Development,325,Udemy,
Building Web Apps Using Flask and Neo4j,All Levels,Web Development,166,Udemy,
Learn Web Animation the Easy Way: An Intro to SVG and GSAP,All Levels,Web Development,203,Udemy,
Build Your Own Membership Website With Joomla,All Levels,Web Development,1134,Udemy,
Learn Spring Security 4 Basics - Hands On,Beginner Level,Web Development,216,Udemy,
Display and analyze GIS data on the web with Leaflet.js,Intermediate Level,Web Development,25,Udemy,
How to Build a CMS with PHP,Beginner Level,Web Development,1096,Udemy,
Responsive Web Design with HTML5 and CSS3 - Introduction,Beginner Level,Web Development,770,Udemy,
Master Typescript : Learn Typescript from scratch,All Levels,Web Development,424,Udemy,
XSD :basics for beginners,All Levels,Web Development,755,Udemy,
Angularjs-WebApi2-EFCodeFirst Web App On 3-Tier Architecture,Intermediate Level,Web Development,652,Udemy,
Css Positioning For Absolute Beginners: A Basic Introduction,Beginner Level,Web Development,4797,Udemy,
Creating User Authentication System in CodeIgniter,All Levels,Web Development,2783,Udemy,
How to easily Manage your WordPress Website,Beginner Level,Web Development,8462,Udemy,
Wordpress For Beginners: Create a Professional Website,Beginner Level,Web Development,5129,Udemy,
"Building a Portfolio in 90 minutes ( HTML, CSS, Js ) ",All Levels,Web Development,5272,Udemy,
Automate Web Development With Gulp JS,All Levels,Web Development,2784,Udemy,
Bootstrap 4 Responsive Web Design and Development,Beginner Level,Web Development,3086,Udemy,
Intro To HTML & CSS: Web Development For Beginners,Beginner Level,Web Development,6008,Udemy,
Become Exceptional in HTML and HTML5,All Levels,Web Development,16486,Udemy,
Become a Rockstar Web Developer - Learn By Coding,All Levels,Web Development,2076,Udemy,
Spring 4 Mastercourse: Covers Annotation & XML Configuration,Intermediate Level,Web Development,1353,Udemy,
WordPress Plugin Development for 2017 - Build 14 Plugins,All Levels,Web Development,3770,Udemy,
Single Page Application of MVC 5 Using AngularJS,Intermediate Level,Web Development,722,Udemy,
"Learn to Code in HTML5, CSS3, and JavaScript",Beginner Level,Web Development,1404,Udemy,
Web Application Development - Learn by Building 3 Web Apps,Beginner Level,Web Development,1688,Udemy,
Rails Ecommerce App with HTML Template from Themeforest,Intermediate Level,Web Development,214,Udemy,
Writing CSS with {LESS} - Tutorial From Infinite Skills,All Levels,Web Development,788,Udemy,
Login and Registration from Scratch with PHP and MySQL,Intermediate Level,Web Development,1128,Udemy,
Getting Started with Magento,All Levels,Web Development,608,Udemy,
Ruby on Rails Foundations,All Levels,Web Development,359,Udemy,
Core Concepts in HTML 5,Beginner Level,Web Development,1532,Udemy,
Learn Azure Cloud Step by Step,Intermediate Level,Web Development,791,Udemy,
Learn Facebook Flux Architecture for Web Applications,All Levels,Web Development,395,Udemy,
"Create free, fast and secure static website",Beginner Level,Web Development,322,Udemy,
Object Orientation in PHP,Beginner Level,Web Development,151,Udemy,
Creating Custom Web Maps,Intermediate Level,Web Development,208,Udemy,
Build A YouTube Downloader With C# And GitHub,Intermediate Level,Web Development,385,Udemy,
Querying Microsoft SQL Server 2012 - (Exam No. 70-461),All Levels,Web Development,666,Udemy,
HTTP Clients with Laravel: Use and Consume Services and APIs,Intermediate Level,Web Development,237,Udemy,
Modern E-Commerce Store In php & mysqli With Bootstrap,All Levels,Web Development,240,Udemy,
Simple And Easy: Wordpress For Beginners,Beginner Level,Web Development,5014,Udemy,
Create Website from scratch in Urdu & Hindi,Intermediate Level,Web Development,3033,Udemy,
Advance Unix : File Processing: AWK | GREP | VIM,All Levels,Web Development,458,Udemy,
Introduction to Node.js Development,Expert Level,Web Development,1779,Udemy,
Advance JavaScript for Coders: Learn OOP in JavaScript,Intermediate Level,Web Development,334,Udemy,
Web Development With Google Maps,Beginner Level,Web Development,222,Udemy,
jQuery UI Ultimate:Design Amazing Interfaces Using jQuery UI,All Levels,Web Development,422,Udemy,
Learn Spring Security 4 Intermediate - Hands On,Intermediate Level,Web Development,227,Udemy,
Learning Path: The Road to Elasticsearch,Beginner Level,Web Development,50,Udemy,
HTML/CSS Bootcamp,Beginner Level,Web Development,194,Udemy,
JavaScript High Performance,All Levels,Web Development,458,Udemy,
Node:js : Building Rest Apis with Sails.js,Beginner Level,Web Development,61,Udemy,
Fundamentals of Angular 2 Full Stack Design,Beginner Level,Web Development,314,Udemy,
Create Newsletter Subscription Form with PHP/AJAX in 40 Min,All Levels,Web Development,586,Udemy,
AppML :basics for beginners,All Levels,Web Development,770,Udemy,
How to manage your own VPS and create websites,All Levels,Web Development,735,Udemy,
Learn BuddyPress: Build A Social Network with WordPress,All Levels,Web Development,1299,Udemy,
HTML FOR BEGINNERS,All Levels,Web Development,791,Udemy,
XML XQuery - Crash Course for Beginners,All Levels,Web Development,426,Udemy,
Simplified Cross Browser Web Testing Using VirtualBox,Beginner Level,Web Development,796,Udemy,
JavaScript and jQuery Basics: Start The Journey,All Levels,Web Development,1316,Udemy,
How to Install WordPress From Scratch,Beginner Level,Web Development,8415,Udemy,
CSS :basics for beginners,All Levels,Web Development,1085,Udemy,
"WordPress Development - Themes, Plugins & Single Page Apps",Intermediate Level,Web Development,817,Udemy,
Learn Effective HTML in No Time!,All Levels,Web Development,1275,Udemy,
HTML5 Geolocation in Depth:Build 7 HTML5 Geolocation Apps,All Levels,Web Development,1526,Udemy,
Building a Search Engine in PHP & MySQL,All Levels,Web Development,10110,Udemy,
create a search engine for your website!,Intermediate Level,Web Development,1832,Udemy,
Learn basics of HTML in 30 Minutes,Beginner Level,Web Development,945,Udemy,
JavaScript from Scratch for Very Beginners,Beginner Level,Web Development,1272,Udemy,
Learn Web Development by Creating a Social Network,Beginner Level,Web Development,442,Udemy,
CSS Image filters - The modern web images color manipulation,All Levels,Web Development,6315,Udemy,
Building Responsive Websites with Bootstrap 3 Framework,Intermediate Level,Web Development,1322,Udemy,
Create a Membership Site with Wishlist Member & Wordpress,All Levels,Web Development,557,Udemy,
Convert HTML Websites into PHP: Learn by Doing in 40 Minutes,All Levels,Web Development,540,Udemy,
17 Complete JavaScript   projects explained step by step,Beginner Level,Web Development,327,Udemy,
Mastering Unix : AWK Commands,All Levels,Web Development,358,Udemy,
Cakephp:Creating a CRUD application,All Levels,Web Development,803,Udemy,
HTML and CSS: A Guide to Web Design,All Levels,Web Development,1557,Udemy,
Drupal 8 Site Building,All Levels,Web Development,1942,Udemy,
Learn Bootstrap 4 The Most Popular HTML5 CSS3 & JS Framework,All Levels,Web Development,279,Udemy,
Essentials of Spring 5.0 for Developers,Expert Level,Web Development,34,Udemy,
The Extreme Web Development Course - For Beginners,All Levels,Web Development,1420,Udemy,
JQuery DOM and Ajax Concept Explained for Beginners,All Levels,Web Development,1812,Udemy,
HTML Forms For Beginners: A Basic Introduction  ,Beginner Level,Web Development,2472,Udemy,
Ultimate JavaScript Objects,All Levels,Web Development,1525,Udemy,
The Complete Web Developer Course - Build 20 Websites,All Levels,Web Development,2650,Udemy,
"Simple Javascript: Learn by Doing, Beginners Welcome!",All Levels,Web Development,2753,Udemy,
"Learn HTML, CSS, and Ruby on Rails: Build Your First Blog",Beginner Level,Web Development,2985,Udemy,
Learn HTML5 Canvas for beginners,Beginner Level,Web Development,2360,Udemy,
Bootstrap 4 Beginners: Code a Responsive Landing Page,All Levels,Web Development,948,Udemy,
Build Wordpress CMS Clone with Laravel 5,All Levels,Web Development,392,Udemy,
XML DTD - Crash Course for Beginners,All Levels,Web Development,944,Udemy,
Beginner Photoshop to HTML5 and CSS3,All Levels,Web Development,73110,Udemy,
XPATH :basics for beginners,All Levels,Web Development,878,Udemy,
The Fastest Way to Create a Website Using Godaddy,Beginner Level,Web Development,1454,Udemy,
A how to guide in HTML,Beginner Level,Web Development,7318,Udemy,
Building Better APIs with GraphQL,All Levels,Web Development,555,Udemy,
Learn Grunt with Examples: Automate Your Front End Workflow,All Levels,Web Development,496,Udemy,
Build A Stock Downloader With Visual Studio 2015 And C#,Intermediate Level,Web Development,436,Udemy,
jQuery UI in Action: Build 5 jQuery UI Projects,All Levels,Web Development,382,Udemy,
Learn jQuery from Scratch - Master of JavaScript library,All Levels,Web Development,1040,Udemy,
How To Design A WordPress Website With No Coding At All,Beginner Level,Web Development,306,Udemy,
Learn and Build using Polymer,All Levels,Web Development,513,Udemy,
CSS Animations: Create Amazing Effects on Your Website,All Levels,Web Development,300,Udemy,
Using MODX CMS to Build Websites: A Beginner's Guide,Beginner Level,Web Development,901,Udemy,
(ISC)² Systems Security Certified Practitioner (SSCP),Beginner,,5.3k,Coursera,SPECIALIZATION
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,Intermediate,,17k,Coursera,COURSE
A Crash Course in Data Science,Mixed,,130k,Coursera,COURSE
A Law Student's Toolkit,Mixed,,91k,Coursera,COURSE
A Life of Happiness and Fulfillment,Mixed,,320k,Coursera,COURSE
ADHD: Everyday Strategies for Elementary Students,Beginner,,39k,Coursera,COURSE
AI For Everyone,Beginner,,350k,Coursera,COURSE
AI For Medical Treatment,Intermediate,,2.4k,Coursera,COURSE
AI Foundations for Everyone,Beginner,,61k,Coursera,SPECIALIZATION
AI for Medical Diagnosis,Intermediate,,12k,Coursera,COURSE
AI for Medical Prognosis,Intermediate,,4k,Coursera,COURSE
AI for Medicine,Intermediate,,13k,Coursera,SPECIALIZATION
AWS Fundamentals,Beginner,,130k,Coursera,SPECIALIZATION
AWS Fundamentals: Addressing Security Risk,Beginner,,11k,Coursera,COURSE
AWS Fundamentals: Building Serverless Applications,Beginner,,27k,Coursera,COURSE
AWS Fundamentals: Going Cloud-Native,Beginner,,110k,Coursera,COURSE
AWS Fundamentals: Migrating to the Cloud,Intermediate,,13k,Coursera,COURSE
Aboriginal Worldviews and Education,Mixed,,6.6k,Coursera,COURSE
Academic English: Writing,Beginner,,540k,Coursera,SPECIALIZATION
Accelerated Computer Science Fundamentals,Intermediate,,22k,Coursera,SPECIALIZATION
Access Controls,Beginner,,2.9k,Coursera,COURSE
Accounting Analytics,Mixed,,80k,Coursera,COURSE
Accounting for Decision Making,Intermediate,,9.9k,Coursera,COURSE
Achieving Personal and Professional Success,Beginner,,110k,Coursera,SPECIALIZATION
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Mixed,,23k,Coursera,COURSE
Addiction Treatment: Clinical Skills for Healthcare Providers,Beginner,,9.2k,Coursera,COURSE
Advanced Business Analytics,Intermediate,,78k,Coursera,SPECIALIZATION
Advanced Data Science with IBM,Advanced,,320k,Coursera,SPECIALIZATION
Advanced Machine Learning,Advanced,,190k,Coursera,SPECIALIZATION
Advanced Machine Learning with TensorFlow on Google Cloud Platform,Advanced,,35k,Coursera,SPECIALIZATION
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Advanced,,29k,Coursera,COURSE
Advertising and Society,Mixed,,14k,Coursera,COURSE
Age of Cathedrals,Beginner,,21k,Coursera,COURSE
Agile Development,Beginner,,94k,Coursera,SPECIALIZATION
Agile Meets Design Thinking,Beginner,,69k,Coursera,COURSE
Agile with Atlassian Jira,Beginner,,40k,Coursera,COURSE
Agile и Scrum в работе над проектами и продуктами,Beginner,,12k,Coursera,COURSE
Algorithmic Toolbox,Intermediate,,220k,Coursera,COURSE
Algorithms,Intermediate,,150k,Coursera,SPECIALIZATION
Algorithms for Battery Management Systems,Intermediate,,14k,Coursera,SPECIALIZATION
American Contract Law I,Beginner,,18k,Coursera,COURSE
An Introduction to American Law,Beginner,,23k,Coursera,COURSE
An Introduction to Consumer Neuroscience & Neuromarketing,Beginner,,69k,Coursera,COURSE
An Introduction to Programming the Internet of Things (IOT),Beginner,,270k,Coursera,SPECIALIZATION
Analysing: Numeric and digital literacies,Beginner,,7.9k,Coursera,SPECIALIZATION
Anatomy,Beginner,,30k,Coursera,SPECIALIZATION
"Anatomy of the Chest, Abdomen, and Pelvis",Intermediate,,36k,Coursera,COURSE
Anatomy: Musculoskeletal and Integumentary Systems,Beginner,,20k,Coursera,COURSE
Ancient Philosophy: Aristotle and His Successors,Mixed,,8.1k,Coursera,COURSE
Android App Development,Beginner,,120k,Coursera,SPECIALIZATION
Animal Behaviour and Welfare,Mixed,,71k,Coursera,COURSE
Antibiotic Stewardship,Advanced,,11k,Coursera,COURSE
Anticorrupción: Introducción a conceptos y perspectiva práctica,Beginner,,11k,Coursera,COURSE
Antimicrobial resistance - theory and methods,Intermediate,,63k,Coursera,COURSE
Applied Data Science,Beginner,,220k,Coursera,SPECIALIZATION
Applied Data Science Capstone,Intermediate,,42k,Coursera,COURSE
Applied Data Science with Python,Intermediate,,480k,Coursera,SPECIALIZATION
Applied Machine Learning in Python,Intermediate,,150k,Coursera,COURSE
"Applied Plotting, Charting & Data Representation in Python",Intermediate,,97k,Coursera,COURSE
Aprende a programar con Python,Beginner,,6.6k,Coursera,SPECIALIZATION
Aprender,Mixed,,200k,Coursera,COURSE
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),Beginner,,180k,Coursera,COURSE
Architecting with Google Cloud Platform 日本語版,Intermediate,,4.2k,Coursera,SPECIALIZATION
Architecting with Google Compute Engine,Intermediate,,310k,Coursera,SPECIALIZATION
Architecting with Google Kubernetes Engine 日本語版,Beginner,,3.9k,Coursera,SPECIALIZATION
Arizona State University TESOL,Beginner,,150k,Coursera,PROFESSIONAL CERTIFICATE
Art & Activity: Interactive Strategies for Engaging with Art,Mixed,,79k,Coursera,COURSE
Art & Ideas: Teaching with Themes,Mixed,,31k,Coursera,COURSE
Arts and Culture Strategy,Mixed,,15k,Coursera,COURSE
Arts and Heritage Management,Mixed,,15k,Coursera,COURSE
Aspectos básicos de la planificación y la gestión de proyectos,Beginner,,10k,Coursera,COURSE
Astrobiology and the Search for Extraterrestrial Life,Mixed,,66k,Coursera,COURSE
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Intermediate,,33k,Coursera,COURSE
Autism Spectrum Disorder,Mixed,,56k,Coursera,COURSE
Autodesk CAD/CAM for Manufacturing,Intermediate,,7.3k,Coursera,SPECIALIZATION
Autodesk CAD/CAM/CAE for Mechanical Engineering,Intermediate,,9.2k,Coursera,SPECIALIZATION
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Advanced,,22k,Coursera,COURSE
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Advanced,,9.7k,Coursera,COURSE
BIM Fundamentals for Engineers,Beginner,,13k,Coursera,COURSE
Basic Statistics,Beginner,,180k,Coursera,COURSE
Bayesian Statistics: From Concept to Data Analysis,Intermediate,,91k,Coursera,COURSE
Bayesian Statistics: Techniques and Models,Intermediate,,29k,Coursera,COURSE
Become a CBRS Certified Professional Installer by Google,Mixed,,210k,Coursera,COURSE
Become a Journalist: Report the News!,Beginner,,28k,Coursera,SPECIALIZATION
Become a Sustainable Business Change Agent,Intermediate,,4.2k,Coursera,SPECIALIZATION
Becoming a Sports Agent,Beginner,,6.5k,Coursera,COURSE
Becoming a changemaker: Introduction to Social Innovation,Beginner,,61k,Coursera,COURSE
Behavioral Finance,Mixed,,55k,Coursera,COURSE
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,Mixed,,2.3k,Coursera,COURSE
Big Data – Introducción al uso práctico de datos masivos,Beginner,,8.8k,Coursera,SPECIALIZATION
Biohacking Your Brain's Health,Beginner,,35k,Coursera,COURSE
Biology Meets Programming: Bioinformatics for Beginners,Beginner,,88k,Coursera,COURSE
Biostatistics in Public Health,Beginner,,14k,Coursera,SPECIALIZATION
Blended Language Learning: Design and Practice for Teachers,Intermediate,,1.9k,Coursera,COURSE
Blockchain,Intermediate,,68k,Coursera,SPECIALIZATION
Blockchain Revolution,Beginner,,21k,Coursera,SPECIALIZATION
Blockchain Revolution in Financial Services,Beginner,,1.6k,Coursera,SPECIALIZATION
Blockchain: Foundations and Use Cases,Beginner,,31k,Coursera,COURSE
Boosting Creativity for Innovation,Beginner,,9.5k,Coursera,COURSE
"Brand Management: Aligning Business, Brand and Behaviour",Beginner,,57k,Coursera,COURSE
Branding: The Creative Journey,Beginner,,26k,Coursera,SPECIALIZATION
Budgeting and Scheduling Projects,Mixed,,84k,Coursera,COURSE
Bugs 101: Insect-Human Interactions,Beginner,,15k,Coursera,COURSE
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Mixed,,95k,Coursera,COURSE
Building Batch Data Pipelines on GCP,Intermediate,,7.3k,Coursera,COURSE
Building Conversational Experiences with Dialogflow,Beginner,,22k,Coursera,COURSE
Building Resilient Streaming Analytics Systems on GCP,Intermediate,,5.8k,Coursera,COURSE
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Intermediate,,24k,Coursera,COURSE
Building Your Leadership Skills,Mixed,,67k,Coursera,COURSE
Business Analytics,Beginner,,280k,Coursera,SPECIALIZATION
Business English,Intermediate,,38k,Coursera,SPECIALIZATION
Business English Communication Skills,Intermediate,,120k,Coursera,SPECIALIZATION
Business English: Networking,Intermediate,,77k,Coursera,COURSE
Business Foundations,Beginner,,510k,Coursera,SPECIALIZATION
Business Model Innovation,Mixed,,13k,Coursera,COURSE
Business Statistics and Analysis,Beginner,,110k,Coursera,SPECIALIZATION
Business Strategies for A Better World,Beginner,,24k,Coursera,SPECIALIZATION
Business Strategy,Beginner,,89k,Coursera,SPECIALIZATION
Business Technology Management,Beginner,,67k,Coursera,SPECIALIZATION
Business Transformation with Google Cloud,Beginner,,10k,Coursera,COURSE
Business Writing,Beginner,,48k,Coursera,COURSE
Business and Financial Modeling,Beginner,,160k,Coursera,SPECIALIZATION
C for Everyone: Programming Fundamentals,Beginner,,31k,Coursera,COURSE
C# Programming for Unity Game Development,Beginner,,36k,Coursera,SPECIALIZATION
COVID-19 Contact Tracing,Beginner,,220k,Coursera,COURSE
COVID-19: What You Need to Know (CME Eligible),Beginner,,32k,Coursera,COURSE
"Cameras, Exposure, and Photography",Mixed,,130k,Coursera,COURSE
Camino a la Excelencia en Gestión de Proyectos,Beginner,,340k,Coursera,COURSE
"Capstone: Retrieving, Processing, and Visualizing Data with Python",Mixed,,82k,Coursera,COURSE
Career Success,Beginner,,790k,Coursera,SPECIALIZATION
Challenging Forensic Science: How Science Should Speak to Court,Beginner,,31k,Coursera,COURSE
Chemicals and Health,Beginner,,23k,Coursera,COURSE
Chicken Behaviour and Welfare,Mixed,,19k,Coursera,COURSE
Child Nutrition and Cooking,Beginner,,30k,Coursera,COURSE
Chinese for HSK 1,Beginner,,22k,Coursera,COURSE
Cisco Networking Basics,Beginner,,57k,Coursera,SPECIALIZATION
Classical Sociological Theory,Mixed,,51k,Coursera,COURSE
Claves de la Dirección de Empresas,Beginner,,51k,Coursera,SPECIALIZATION
Climate Change and Health: From Science to Action,Beginner,,4.8k,Coursera,SPECIALIZATION
Clinical Terminology for International and U.S. Students,Beginner,,32k,Coursera,COURSE
Cloud Computing,Intermediate,,110k,Coursera,SPECIALIZATION
Cloud Computing Basics (Cloud 101),Beginner,,37k,Coursera,COURSE
Cloud Engineering with Google Cloud,Intermediate,,310k,Coursera,PROFESSIONAL CERTIFICATE
Coaching Skills for Managers,Intermediate,,37k,Coursera,SPECIALIZATION
Code Yourself! An Introduction to Programming,Beginner,,120k,Coursera,COURSE
Communication Skills for Engineers,Beginner,,15k,Coursera,SPECIALIZATION
Communication Strategies for a Virtual Age,Beginner,,43k,Coursera,COURSE
Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,Beginner,,6.4k,Coursera,COURSE
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Beginner,,43k,Coursera,COURSE
Competitive Strategy and Organization Design,Intermediate,,350k,Coursera,SPECIALIZATION
Computational Social Science,Beginner,,5.8k,Coursera,SPECIALIZATION
Computational Thinking for Problem Solving,Beginner,,33k,Coursera,COURSE
Computer Security and Systems Management,Beginner,,27k,Coursera,SPECIALIZATION
Conflict Management,Beginner,,66k,Coursera,SPECIALIZATION
Construction Cost Estimating and Cost Control,Beginner,,19k,Coursera,COURSE
